text,label,sentiment
greek like deep dish chicago sicilian style baked pan rather directly brick oven,pizza,0.3612
restaurant use standard purpose built preparation table assemble,pizza,0.0
bottom called crust may vary widely according style thin typical hand tossed neapolitan thick deep dish chicago style,pizza,0.4939
traditionally plain may also seasoned garlic herb stuffed cheese,pizza,0.0
outer edge sometimes referred cornicione,pizza,0.0
mozzarella cheese commonly used buffalo mozzarella produced surroundings naples,pizza,0.0
cheese also used particularly italian cheese including provolone pecorino romano ricotta scamorza,pizza,0.0
le expensive processed cheese cheese analogue developed mass market produce desirable quality like browning melting stretchiness consistent fat moisture content stable shelf life,pizza,0.7184
quest create ideal economical cheese involved many study experiment analyzing impact vegetable oil manufacturing culture process denatured whey protein change manufacture,pizza,0.6705
great number variety exist defined choice topping sometimes also crust,pizza,0.6597
also several style defined preparation method,pizza,0.0
2021 according guinness world record world largest prepared rome december 2012 measured 261 square meter 13 570 square foot,pizza,0.2263
named ottavia homage first roman emperor octavian augustus made gluten free base,pizza,0.5106
world longest 930 39 meter 333 foot inch long made fontana california 2017,pizza,0.0
world expensive commercially available recognised guinness world record cost 700 sold industry kitchen usa new york new york usa 24 april 2017,pizza,0.0
made black squid ink dough topped uk white stilton cheese french foie gras truffle ossetra caviar caspian sea almas caviar 24k gold leaf,pizza,0.0
expensive reported recognised guinness world record 200 royale 007 haggis restaurant glasgow scotland topped caviar lobster 24 carat gold dust 000 caviar made nino bellissima pizzeria new york city new york,pizza,0.0
made restaurateur domenico crolla included topping sunblush tomato sauce scottish smoked salmon medallion venison edible gold lobster marinated cognac champagne soaked caviar,pizza,0.296
mass produced chain criticized unhealthy balance ingredient,pizza,-0.7096
high salt fat high calorie,pizza,0.0
usda report average sodium content 101 mg per 36 cm 14 fast food chain,pizza,0.0
calzone stromboli similar dish often made dough folded calzone rolled stromboli around filling,pizza,0.0
panzerotti similar calzones fried rather baked,pizza,0.0
piadina thin italian flatbread typically prepared romagna historical region,pizza,0.2263
focaccia flat leavened oven baked italian bread similar style texture place called bianca white,pizza,0.0
farinata cecina,pizza,0.0
ligurian farinata tuscan cecina regional dish made chickpea flour water salt olive oil,pizza,0.0
also called socca provence region france,pizza,0.0
often baked brick oven typically weighed sold slice,pizza,0.0
alsatian flammekueche standard german flammkuchen french tarte flamb thin disc dough covered cr fra che onion bacon,pizza,0.0
garlic finger atlantic canadian dish similar shape size made similar dough,pizza,0.0
garnished melted butter garlic cheese sometimes bacon,pizza,0.0
anatolian lahmacun arabic la bi aj armenian lahmajoun also turkish armenian meat topped dough round,pizza,0.0
base thin layer meat often includes chopped vegetable,pizza,0.0
levantine manakish arabic ujn sfiha arabic la bi aj also arab dish similar,pizza,0.0
panizza half stick bread often baguette topped usual ingredient baked oven,pizza,0.0
macedonian pastrmajlija bread pie made dough meat,pizza,0.0
usually oval shaped chopped meat top,pizza,0.2023
proven al pissaladi similar italian slightly thicker crust topping cooked onion anchovy olive,pizza,0.0
bagel bagel topping similar traditional,pizza,0.0
bread open faced sandwich made bread tomato sauce cheese various topping,pizza,0.0
stick baked dough ingredient,pizza,0.0
bread dough may also used preparation version fried,pizza,0.0
roll trade marked commercial product,pizza,0.0
okonomiyaki japanese dish cooked hotplate often referred japanese,pizza,0.0
zanzibar street food served stone town zanzibar tanzania,pizza,0.0
us dough much thinner dough almost like filo dough filled minced beef onion egg similar moroccan ba la,pizza,0.2975
saveur ultimate guide,pizza,0.0
retrieved november 2014,pizza,0.0
kliman todd september 2012,pizza,0.0
easy pie guide regional,pizza,0.4404
explanation eight style maryland roman gourmet wood fired generic boxed new york neapolitan chicago new,pizza,-0.5574
helstosky carol 2008,pizza,0.0
global history,pizza,0.0
london reaktion book,pizza,0.0
isbn 978 86189 391,pizza,0.0
chudgar sonya march 22 2012,pizza,0.0
expert guide world class,pizza,0.0
retrieved october 16 2012,pizza,0.0
raichlen steven 2008,pizza,0.0
delpha oringer 2015,pizza,0.0
grilled right way,pizza,0.0
chain founded michael over opened first location december 31 1967 corner wellesley parliament street toronto,pizza,0.0
owned chain death 2010,pizza,-0.5994
expanded throughout toronto area 1970s throughout rest ontario throughout 1980s 1990s,pizza,0.0
chain opened first location quebec mid 1980s withdrew year,pizza,0.0
returned province gatineau march 2007,pizza,0.0
location opened montreal area late 2007 borough notre dame de gr ce pierrefonds roxboro,pizza,0.0
began expand significantly outside ontario 2000s,pizza,0.3182
2005 initial public offering filing chain announced would consider expansion western canada potentially including purchasing existing local chain,pizza,0.0
led june 2007 agreement purchase alberta based 73,pizza,0.4939
well october 2006 company announced would expand quebec market beginning sponsorship montreal canadiens,pizza,0.5267
chain expanded british columbia lower mainland 2009 however location closed 73 already location prince george,pizza,-0.296
interior soon added location manitoba saskatchewan,pizza,0.0
chain returned vancouver 2018,pizza,0.0
opened first store halifax nova scotia june 2010,pizza,0.0
known chain phone number xxx 1111,pizza,0.0772
company claim early adoption centralized single number ordering system subsequent use heavy promotion rhyming phone number helped chain expand throughout ontario central local number used location becomes long distance call,pizza,0.4939
city local number requested 11 11 suffix match standard jingle chain radio advertisement,pizza,0.0772
registered 967 1111 variant trademark unaffiliated american chain little caesar forbidden using,pizza,-0.3657
slogan canada due slogan registered trademark jad production corporation,pizza,0.0
instead little caesar us two,pizza,0.0
hut founded may 31 1958 two brother dan frank carney wichita state student single location wichita kansa,pizza,0.0
famous little brick building close childhood home stomping ground,pizza,0.0
carney brother grew beautiful college hill neighborhood amongst many life long wichita family tree lined street filled historical home scenic park playground,pizza,0.5994
six month launch later opened second outlet within year six hut restaurant one early employee future pro football hall fame head coach bill parcells worked company college student football player wichita state university,pizza,0.4404
parcells considering franchise career well law school instead chose enter coaching eventually becoming head coach national football league,pizza,0.2732
brother began franchising 1959,pizza,0.0
iconic hut building style designed 1963 chicago architect george lindstrom implemented 1969 pepsico acquired hut november 1977,pizza,0.0
twenty year later hut alongside taco bell kentucky fried chicken spun pepsico may 30 1997 three restaurant chain became part new company named tricon global restaurant inc,pizza,0.0
company assumed name yum,pizza,0.0
brand may 22 2002 closing 2015 oldest continuously operating hut manhattan kansa shopping tavern district known aggieville near kansa state university,pizza,0.0
first hut restaurant east mississippi river opened athens ohio 1966 lawrence berberick gary meyers company announced rebrand began november 19 2014 effort increase sale dropped previous two year,pizza,0.3182
menu expanded introduce various item crust flavor 11 new specialty,pizza,0.0
work uniform employee also refreshed,pizza,0.0
2017 hut listed uk based company richtopia number 24 list 200 influential brand world june 25 27 2019 reported hut bringing back logo red roof design used 1976 1999 august 2019 hut announced intention close 500 496 dine restaurant middle 2021 august 18 2020 announced hut closing 300 restaurant bankruptcy npc international one franchise provider,pizza,0.4939
hut split several different restaurant format original family style dine location storefront delivery carry location hybrid location carry delivery dine option,pizza,0.3182
full size hut location lunch buffet eat salad dessert breadstick pasta bar,pizza,0.0
hut business concept independent store type,pizza,0.0
1975 hut began testing concept applegate landing,pizza,0.0
restaurant exterior looked like colonial style house eclectic interior featuring truck salad bar bed,pizza,0.3612
chain offered much italian american fare pasta dish addition like hamburger bread pudding,pizza,0.3612
applegate landing went defunct mid 1980s except one location mcpherson kansa closed fall 1995,pizza,0.0
upscale concept unveiled 2004 called hut italian bistro,pizza,0.0
50 location bistro similar traditional hut except menu feature new italian themed dish penne pasta chicken pomodoro toasted sandwich,pizza,0.0
instead black white red bistro location feature burgundy tan motif,pizza,0.0
case hut replaced red roof location new concept,pizza,0.0
hut express location fast food restaurant offer limited menu many product seen traditional hut,pizza,-0.2263
store often paired colocation wingstreet canada sibling brand kfc taco bell found college campus food court theme park bowling alley within store target,pizza,0.0
vintage location featuring red roof designed architect richard burke found united state canada several exist uk australia mexico,pizza,0.4215
book orange roof golden arch phillip langdon wrote hut red roof architecture something strange object considered outside realm significant architecture yet swiftly reflecting shift popular taste unquestionably making impact daily life,pizza,0.6124
building rarely show architectural journal yet become numerous conspicuous united state today,pizza,0.4215
curbed com report despite hut decision discontinue form made shift toward delivery still 304 traditional unit standing 2004 shingled roof trapezoidal window signifying equal part suburban comfort strip mall anomie,pizza,0.3612
building style common late 1960s early 1970s,pizza,0.0
name red roof somewhat anachronistic since many location brown roof,pizza,0.0
dozen restaurant closed relocated rebuilt many older location red roof design beer full bar music jukebox sometimes arcade,pizza,0.0
north america hut notably sold pan baked pan crispy edge stuffed crust outermost edge wrapped around cylinder mozzarella cheese hand tossed like traditional pizzeria crust thin crispy thin crisp dough hut original style dippin strip cut small strip dipped number sauce zone calzone marinara dipping sauce come plain supremo meaty pepperoni bigfoot largest product priazzo pie like stuffed ingredientsthe stuffed crust introduced march 26 1995,pizza,0.891
end year become one popular line,pizza,0.4215
regional difference seen product base,pizza,0.0
company localized southeast asia baked rice dish called curry zazzle may 2008 hut created natural featured natural ingredient sold seattle denver dallas,pizza,0.7184
discontinued october 27 2009 dallas market hut developed use space food delivered international space station 2001,pizza,0.0
vacuum sealed 15 cm diameter fit station oven,pizza,0.3612
launched soyuz eaten yuri usachov orbit recent year chain seen downturn profit,pizza,0.5267
2015 franchise stated would pumping capital london branch,pizza,0.0
hut installing cocktail bar london branch part 60 million bid win back nando generation january 2019 hut announced expanded beer delivery 300 location across plan expand 000 location summer march 2019 hut announced return zone hiatus several year march 2020 hut hong kong announced partnered furniture retailer ikea joint venture,pizza,0.7269
ikea launched new side table called va designed resemble saver,pizza,0.128
table would boxed packaging resembling box building instruction included suggestion order swedish meatball hut would contain meatball served ikea restaurant,pizza,0.0
hut first television commercial produced 1965 bob walterscheidt harry crow agency wichita entitled putt putt hut,pizza,0.2732
ad look like old movie set fast motion,pizza,0.3612
feature man business suit tie played ron williams production manager wichita abc affiliate kake tv start ordering take leaf house get 1965 mustang jr driving hut chased variety townspeople portrayed neighborhood kid walterscheidt daughter various employee harry crow kake tv,pizza,0.34
go inside hut picking get back 1965 mustang jr return home,pizza,0.0
went eating except man ordered make man upset call hut,pizza,-0.3818
ad first aired november 19 1966 halftime notre dame michigan state game century dramatically increased sale franchise,pizza,0.2732
putt putt hut ran tv eight year nominated clio award early 2007 hut main advertising slogan gather round good stuff,pizza,0.7506
2008 2009 advertising slogan eating,pizza,0.0
2009 2012 advertising slogan favorite,pizza,0.4588
hut 2012 2016 advertising slogan make great variation 1987 1995 slogan makin great,pizza,0.8481
1995 1999 slogan love stuff made,pizza,0.6369
advertising slogan currently one outs hut hut official international mascot one time series commercial aired titled head show,pizza,0.0
commercial ran 1991 1999 created walter williams creator mr bill sketch saturday night live late 1970s upon ad campaign based,pizza,0.25
ad featured slice face made topping called head,pizza,0.0
1970s hut used signature red roof jolly man named hut pete,pizza,0.5106
pete bag cup balloon hand puppet kid,pizza,0.4939
australia mid late 1990s advertising mascot delivery boy named dougie boyish good look upon delivering father would hear catchphrase tip good mother,pizza,0.7003
adding impact advertisement role dougie played famous australian soap opera police drama actor diarmid heidenreich hut sponsored film back future part ii 1989 offered free pair futuristic sunglass known solar shade purchase hut,pizza,0.6908
hut also engaged product placement within film futuristic version logo trademarked red hut printed side mylar dehydrated wrapper mcfly family dinner scene appear storefront hill valley year 2015 1990 ne game teenage mutant ninja turtle ii arcade game came coupon free,pizza,0.7184
game included hut product placement form background advertisement would refill character life,pizza,0.0
1995 donald trump ex wife ivana trump appeared commercial,pizza,0.0
last scene commercial showed ivana asking last slice donald replied actually dear entitled half play couple recent divorce 1995 ringo starr appeared hut commercial teased beatles reunion featured three member monkees,pizza,0.5994
commercial rush limbaugh date year boast nobody right yet state first time something wrong participate hut eating crust first campaign regarding stuffed crust 1999 announcer say best one roof big new yorker commercial seen playstation hut demo disc,pizza,0.2732
also 1999 game crazy taxi sega dreamcast featured hut one location player able drive drop customer,pizza,-0.5423
however game 2010 release xbox live playstation network product placement including hut location removed early 2007 hut move several interactive way marketing consumer,pizza,0.0
using mobile phone sm technology myhut ordering site aired several television commercial commencing super bowl containing hidden word viewer could type phone receive coupon,pizza,0.5994
1996 part hut global advertising strategy using celebrity formula one driver damon hill bbc motorsport commentator murray walker advertised stuffed crust parody walker extravagant style talk show host jonathan ross co starred ad american model caprice bourret,pizza,0.0
advertised stuffed crust jonathan ross saying stuffed cwust due rhotacism following england defeat germany penalty semifinal euro 96 gareth southgate stuart pearce chris waddle featured advertisement show southgate wearing paper bag head shame penalty miss allowed england lose shootout,pizza,-0.9371
waddle pearce missed shootout west germany world cup 90 ridiculing emphasizing word miss every opportunity,pizza,-0.4215
southgate finish take paper bag head door bang head wall,pizza,0.0
1997 former soviet union leader gorbachev starred hut commercial granddaughter anastasia virganskaya raise money perestroyka archive,pizza,0.0
ad obviously exploited shock value former world leader appear played fact gorbachev far popular outside russia inside,pizza,0.25
filmed multi million budget cinematic quality including mounting camera kremlin shutting red square get establishing shot square dialogue entirely russian english subtitle show hut global brand compared american rival recent year hut various celebrity spokespeople including jessica simpson muppets damon hill murray walker,pizza,0.0
april 2008 hut america sent email customer advertising pasta item,pizza,0.0
email similar advertising company website stated pasta good changed name pasta hut,pizza,0.4404
name change publicity stunt held april fool day extending month april company dallas headquarters changing exterior logo pasta hut name change also used promote new tuscani pasta line new hut dine menu,pizza,-0.0772
first pasta hut advertisement show original hut restaurant imploded recreated pasta hut sign,pizza,0.3182
version stunt created hut uk operation later year october 2008 included ten location london temporarily taking new pasta hut signage,pizza,0.25
early 1990s part pepsico sponsorship newshour jim lehrer former moniker macneil lehrer newshour hut included acknowledgment alongside taco bell kfc pepsico owned time,pizza,0.0
2000 hut part time sponsor galaxy motorsports 75 ford nascar cup series driven wally dallenbach jr hut shirt sponsor english football club fulham,pizza,0.0
2001 02 season terry labonte drove selected event hut primary sponsor 44 car 2005,pizza,0.0
hut purchased naming right major league soccer club fc dallas stadium hut park prior opening 2005 allowed expire january 2012,pizza,0.0
october 2015 hut signed sponsorship deal dallas maverick dallas star american airline center,pizza,0.0
february 2018 hut signed sponsorship deal official sponsor national football league,pizza,0.0
hut sponsored 14 brad jones racing holden zb commodore driven todd hazelwood darwin triple crown townsville 500 2021,pizza,0.0
hut sponsored book,pizza,0.0
reading incentive program since started january 1985,pizza,0.3612
student read book according goal set classroom teacher month october march rewarded hut certificate good free one topping personal pan classroom whose student read book rewarded party,pizza,0.936
conceived 1984 dinner art gunther president hut bud gate svp marketing hut way help gunther son read program criticized psychologist ground may lead overjustification reduce child intrinsic interest reading,pizza,0.4939
also criticized campaign commercial free childhood 2007 described one corporate america insidious school based brand promotion,pizza,0.2023
pamphlet produced group argued program promoted junk food captive market made teacher promoter hut undermined parent making visit chain integral part bringing child literate,pizza,-0.296
however study program found participation program neither increased decreased reading motivation,pizza,0.1496
program 25th anniversary 2010,pizza,0.0
wingstreet name used hut chicken wing menu,pizza,0.0
launched wingstreet combination existing hut franchise,pizza,0.128
october 19 2009 company president scott bergren publicized wingstreet national launch,pizza,0.0
chain predicted aggressive growth adding 000 location 2010,pizza,0.25
2012 hut opened standalone pilot store denton texas,pizza,0.0
store unsuccessful collecting sale closed following year restaurant wingstreet section menu sell breaded traditional buffalo wing take delivery,pizza,-0.3612
sauce include original buffalo mild medium hot level spiciness sweet chili spicy garlic honey barbecue garlic parmesan well cajun lemon pepper dry rub,pizza,0.7506
hut international presence yum,pizza,0.0
brand includes canada mexico north america japan india bangladesh pakistan china saudi arabia united arab emirate united kingdom european union qatar philippine vietnam thailand malaysia singapore indonesia brunei hong kong taiwan south korea myanmar macau asia egypt hut china operation part yum,pizza,0.6808
china hut simplified chinese traditional chinese pinyin sh ng used altered business model offering fine dining atmosphere knife fork using expanded menu catering chinese taste,pizza,0.2023
2008 hut operated restaurant delivery location,pizza,0.0
year company introduced hut express opening location shanghai shenzhen hangzhou,pizza,0.0
160 restaurant 40 chinese city 2005,pizza,0.0
hut pakistan urdu pakistani franchisee hut,pizza,0.0
owned mcr pvt ltd headquartered karachi pakistan,pizza,0.0
first outlet opened karachi 1993,pizza,0.0
1997 former soviet union leader gorbachev starred hut commercial granddaughter anastasia virganskaya raise money perestroyka archive,pizza,0.0
ad obviously exploited shock value former world leader appear played fact gorbachev far popular outside russia inside,pizza,0.25
filmed multi million budget cinematic quality including mounting camera kremlin shutting red square get establishing shot square dialogue entirely russian english subtitle show hut global brand compared american rival recent year hut various celebrity spokespeople including jessica simpson muppets damon hill murray walker,pizza,0.0
tavan bogd food llc officially opened hut july 14 2014 mongolia,pizza,0.0
united kingdom hut criticized october 2007 high salt content meal found contain twice daily recommended amount salt adult,pizza,0.2732
topping consumer prefer however ham sausage bacon etc,pizza,0.0
naturally contain high level salt meet food standard agency 2010 target salt level food 2008 2010 company removed 15 salt across menu july 2014 delivery driver united state filed class action lawsuit hut paying delivery driver net wage minimum wage due unreimbursed automobile expense violation 1938 fair labor standard act,pizza,-0.0
attempt hut case dismissed november 2015 failed,pizza,-0.5106
lutz ashley schlossberg mallory june 16 2015,pizza,0.0
tried hut hot dog stuffed crust thought,pizza,0.0
1960 tom monaghan brother james took operation dominick existing location small restaurant chain owned dominick devarti 507 cross street 301 west cross street ypsilanti michigan near eastern michigan university,pizza,0.0
deal secured 500 payment brother borrowed 900 pay store,pizza,0.3182
brother planned split work hour evenly james want quit job full time postman keep demand new business,pizza,-0.0516
within eight month james traded half business tom volkswagen beetle used delivery 1965 tom monaghan purchased two additional pizzeria total three location county,pizza,0.0
monaghan wanted store share branding original owner forbade using dominick name,pizza,0.5423
one day employee jim kennedy returned delivery suggested name domino,pizza,0.0
monaghan immediately loved idea officially renamed business domino inc 1965 company logo originally three dot representing three store 1965,pizza,0.5994
monaghan planned add new dot addition every new store idea quickly faded domino experienced rapid growth,pizza,0.3818
domino opened first franchise location 1967 1978 company expanded 200 store,pizza,0.0
1975 domino faced lawsuit amstar corporation maker domino sugar alleging trademark infringement unfair competition,pizza,-0.7964
may 1980 fifth circuit court appeal new orleans found favor domino 1998 38 year ownership domino founder tom monaghan announced retirement sold 93 percent company bain capital inc billion ceased involved day day operation company,pizza,0.4019
may 12 1983 domino opened first international store winnipeg manitoba canada,pizza,0.0
year domino opened 1000th store first vancouver washington,pizza,0.0
1985 chain opened first store united kingdom luton,pizza,0.4215
also 1985 domino opened first store tokyo japan,pizza,0.0
1993 became second american franchise open dominican republic first one open haiti direction entrepreneur luis de jes rodr guez,pizza,0.0
1995 domino expanded 000 international location,pizza,0.0
1997 domino opened 500th international location opening seven store one day across five continent,pizza,0.0
2014 company grown 000 international location planning expand birthplace italy achieved october 2015 milan first italian location,pizza,0.3182
ceo patrick doyle may 2014 said company would concentrate delivery model,pizza,0.0
domino exited country 2022,pizza,0.0
1995 domino entered china vest fast food group also owned right operate domino 11 southeast asian country,pizza,0.0
february 2016 domino opened 000th store india,pizza,0.0
2004 44 year privately held company domino began trading common stock new york stock exchange ticker symbol dpz,pizza,0.0
industry trade publication today magazine named domino chain year 2003 2010 2011,pizza,0.0
simultaneous celebration january 2006 domino opened 000th american store huntley illinois 000th international store panama city panama making 000 total store system,pizza,0.0
august 2006 domino location tallaght dublin ireland became first store domino history hit turnover million 35 million per year,pizza,0.0
september 2006 domino 200 store worldwide totaled billion gross income august 2012 domino changed name simply domino,pizza,-0.4767
time domino introduced new logo removed blue rectangle text domino logo changed formerly red domino blue side two dot red side one dot,pizza,0.0
done company wanted expand menu choice rather simply rely traditional,pizza,0.3182
april 2022 domino italy franchise operator e spa filed bankruptcy milan court two year declining sale caused covid 19 lockdown italy,pizza,0.0
addition domino faced competition local chain restaurant begun using food delivery app service glovo eat deliveroo,pizza,0.0
domino menu varies region,pizza,0.0
current domino menu united state feature variety italian american main side dish,pizza,0.4215
primary focus traditional specialty custom available variety crust style topping,pizza,0.0
2011 domino launched artisan style,pizza,0.128
additional entree include pasta bread bowl oven baked sandwich,pizza,0.0
menu offer chicken bread side well beverage dessert founding early 1990s menu domino kept simple relative fast food restaurant ensure efficiency delivery,pizza,0.7351
historically domino menu consisted solely one style crust two size 12 inch 16 inch 11 topping coca cola soft drink option,pizza,0.0
first menu expansion occurred 1989 debut domino deep dish,pizza,0.0
introduction followed market research showing 40 customer preferred thick crust,pizza,0.0
new product launch cost approximately 25 million 15 million spent new sheet metal pan perforated bottom,pizza,0.0
domino started testing extra large size early 1993 starting 30 slice yard long dominator domino tapped market trend toward bite size food spicy buffalo chicken kicker alternative buffalo wing august 2002,pizza,0.0
breaded baked white meat fillet similar chicken finger packaged custom designed box two type sauce heat cool chicken august 2003 domino announced first new since january 2000 philly cheese steak,pizza,0.3182
product launch also marked beginning partnership national cattleman beef association whose beef check logo appeared related advertising,pizza,0.0
domino continued move toward specialty 2006 introduction brooklyn style featuring thinner crust cornmeal baked add crispness larger slice could folded style traditional new york style 2008 domino branched non fare offering oven baked sandwich four style intended compete subway toasted submarine sandwich,pizza,0.0
early marketing sandwich made varied reference competition offering free sandwich customer named jared reference subway spokesman name company introduced american legend line specialty 2009 featuring 40 cheese company regular along greater variety topping,pizza,0.7003
year domino began selling breadbowl pasta entree lightly seasoned bread bowl baked pasta inside lava crunch cake dessert composed crunchy chocolate shell filled warm fudge,pizza,0.2263
domino promoted dessert flying 000 cake deliver hoffstadt bluff visitor center near mount st helen washington state 2010 shortly company 50th anniversary domino changed recipe crust making significant change dough sauce cheese used,pizza,0.5574
advertising campaign admitted earlier problem public perception domino product due taste issue september 2012 domino announced introducing pan menu september 24 2012 original deep dish introduced 23 year prior discontinued favor new pan,pizza,0.4019
domino september 2018 location united state including district columbia guam puerto rico united state virgin island 83 country including overseas territory cayman island state limited recognition kosovo northern cyprus,pizza,0.5719
store 701 city worldwide 900 international 800 america 2016 domino opened 000th store india,pizza,0.0
first quarter 2018 domino approximately 15 000 store 649 united state 232 india 094 united kingdom case domino master franchise agreement one company per country three company acquired multiple master franchise agreement covering multiple country domino israel founded 1990 opened first branch 1993,pizza,0.9001
operated elgad,pizza,0.0
august 2014 33 branch throughout country,pizza,0.0
kosher franchise,pizza,0.0
right operate franchise branch chain australia denmark new zealand france belgium netherlands monaco currently owned australian domino enterprise bought master franchise parent company 1993 australian new zealand franchise 2006 european franchise,pizza,0.0
master franchise uk ireland purchased 1993 british publicly listed domino group dpg acquired master franchise germany 2011 switzerland liechtenstein luxembourg august 2012 buying swiss master franchise holder option acquire austrian master franchise well,pizza,0.2732
dpg opened first swedish location near mobilia shopping mall malm december 2016 three year later 2019 announced would selling current business country,pizza,0.0
master franchise india nepal sri lanka currently owned indian company jubilant foodworks,pizza,0.6124
india largest international market domino outside home market country 000 domino outlet,pizza,0.0
company operates 362 store across 264 indian city 2018,pizza,0.0
bangladesh franchise domino co owned jubilant foodworks golden harvest limited forming domino bangladesh limited,pizza,0.296
entity jubilant foodworks majority shareholder owns 51 company rest share owned golden harvest limited,pizza,0.6486
first store bangladesh opened february 2019,pizza,0.0
july 27 2020 domino opened downtown zagreb croatia,pizza,0.0
2020 domino opened 550 store turkey,pizza,0.0
currently 157 total domino unit 815 franchised unit,pizza,0.0
2018 average weekly unit sale awus franchised unit 22 045 showing consistent increase past five year,pizza,0.3182
per year amount average million dollar sale,pizza,0.0
domino ebitda 15 store making 25 000,pizza,0.0
vast majority store fell category 500 unit,pizza,0.0
according domino 2019 income statement net income 400 000,pizza,0.0
late 1986 domino well known advertisement featuring character called noid created group 243 inc hired vinton studio produce television commercial featured character,pizza,0.4767
catchphrase associated commercial avoid noid,pizza,-0.296
noid discontinued kenneth lamar noid believing mascot imitation held two domino employee hostage chamblee georgia,pizza,0.0
employee escaped noid ate ordered,pizza,0.0
noid eventually diagnosed paranoid schizophrenia acquitted due insanity later committed suicide,pizza,-0.7964
noid briefly brought back week 2011 arcade style game domino facebook page,pizza,0.0
person top score received coupon free due glitch domino website company gave away nearly 11 000 free medium march 2009,pizza,0.8126
company planned campaign december 2008 scrapped idea never promoted,pizza,-0.3252
redemption code receive never deactivated however resulted free giveaway across united state someone discovered promotion website typing word bailout redemption code shared others internet,pizza,0.7964
domino deactivated code morning march 31 2009 promised reimburse store owner domino sponsored cart doug shierson racing driven arie luyendyk 1990 indianapolis 500,pizza,0.3612
2003 domino teamed nascar multi year partnership become official nascar,pizza,0.0
domino also sponsored michael waltrip racing driver david reutimann 2007 season nascar sprint cup series,pizza,0.0
june 2018 domino announced started project pave crack pothole road united state called paving prevent ruined giving city town grant road repair,pizza,0.5719
company reached agreement four city town including burbank california bartonville texas athens georgia milford delaware pave road,pizza,0.5574
beginning 1973 domino offered guarantee customer would delivered within 30 minute placing order would receive free,pizza,0.6486
guarantee changed 1987,pizza,0.25
1992 company settled lawsuit brought family indiana woman killed speeding domino delivery driver paying family million,pizza,-0.7506
another lawsuit 1993 woman injured domino delivery driver ran red light collided vehicle awarded nearly 80 million jury accepted payout 15 million,pizza,0.0516
half hour guarantee dropped year public perception reckless driving irresponsibility according ceo tom monaghan december 2007 domino introduced new slogan got 30 minute alluding earlier pledge stopping short promising delivery half hour company continues honour 30 minute guarantee order placed store located colombia vietnam mexico china india,pizza,0.7269
2001 domino launched two year national partnership make wish foundation america,pizza,0.4939
